Make,Model,Year,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP,Fuel_Type,price_category,avg_mpg
BMW,1 Series M,2011,335.0,6.0,MANUAL,RWD,2.0,High-Performance,Compact,Coupe,26,19,3916,46135,petrol,Medium,22.5
BMW,1 Series,2011,300.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,28,19,3916,40650,petrol,Medium,23.5
BMW,1 Series,2011,300.0,6.0,MANUAL,RWD,2.0,High-Performance,Compact,Coupe,28,20,3916,36350,petrol,Medium,24.0
BMW,1 Series,2011,230.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,28,18,3916,29450,petrol,Medium,23.0
BMW,1 Series,2011,230.0,6.0,MANUAL,RWD,2.0,Luxury,Compact,Convertible,28,18,3916,34500,petrol,Medium,23.0
BMW,1 Series,2012,230.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,28,18,3916,31200,petrol,Medium,23.0
BMW,1 Series,2012,300.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,26,17,3916,44100,petrol,Medium,21.5
BMW,1 Series,2012,300.0,6.0,MANUAL,RWD,2.0,High-Performance,Compact,Coupe,28,20,3916,39300,petrol,Medium,24.0
BMW,1 Series,2012,230.0,6.0,MANUAL,RWD,2.0,Luxury,Compact,Convertible,28,18,3916,36900,petrol,Medium,23.0
BMW,1 Series,2013,230.0,6.0,MANUAL,RWD,2.0,Luxury,Compact,Convertible,27,18,3916,37200,petrol,Medium,22.5
BMW,1 Series,2013,300.0,6.0,MANUAL,RWD,2.0,High-Performance,Compact,Coupe,28,20,3916,39600,petrol,Medium,24.0
BMW,1 Series,2013,230.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Coupe,28,19,3916,31500,petrol,Medium,23.5
BMW,1 Series,2013,300.0,6.0,MANUAL,RWD,2.0,Performance,Compact,Convertible,28,19,3916,44400,petrol,Medium,23.5
BMW,1 Series,2013,230.0,6.0,MANUAL,RWD,2.0,Luxury,Compact,Convertible,28,19,3916,37200,petrol,Medium,23.5
BMW,1 Series,2013,320.0,6.0,MANUAL,RWD,2.0,High-Performance,Compact,Convertible,25,18,3916,48250,petrol,Medium,21.5
BMW,1 Series,2013,320.0,6.0,MANUAL,RWD,2.0,High-Performance,Compact,Coupe,28,20,3916,43550,petrol,Medium,24.0
